overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
1.0,True,"04 29, 2012",A2YLQH36KNQO40,B000B4GTY6,{'Color Name:': ' Satin Chrome'},JustinBuyer,"I needed a door holder of at least five inches.  All local hardware stores including Home Depot and Lowes only stock four inch door holders in this price range, usually less than five dollars.  Most five inch plus door holders are of commercial grade, cost three to four times as much and are overkill for my intended use on a very light home patio door.  I removed this item from its packaging and immediately observed it will not stay in the upright position.

No problem with the metal itself, but the design to stay in the upright position is poor and obviously cut corners by using a small piece of sheet metal for this purpose that is ineffective.  The second part is the ""rod"" connecting the holder to the mounting base is cheaply made and resembles a poor quality rivet.  I did not even bothering installing this item.  Not even worth the shipping cost to return it.  You get what you pay for.

Update: purchased the ""Solid Brass Door Holder In Satin Nickel Finish 5 Inches, by Solid"" on this site. Works good. See my review.",Low Price For A Reason,1335657600,6,
1.0,True,"07 24, 2016",A38NINSJWL4KT4,B000FBOGMC,"{'Size:': ' 7-Compartment', 'Package Quantity:': ' 1'}",Marcia H.,The lock does not work. I have to return it.,Lock broken,1469318400,,
1.0,False,"01 31, 2013",A33FIU4CC9SH7P,B001OATBEQ,{'Format:': ' Office Product'},Farmer&#039;s Wife,"Our office has 4 of these scanners.

We have replaced all 4 of them along with a replacement unit.  That's right-we have had to have 5 total replacements.  The scanner works great and efficiently-but then for some reason the FATAL ERROR would pop up on the machine and it would quit working overnight.

We would get the replacements, but they were all refurbished.  We just got a refurbished unit yesterday and it would NOT work.  I spent over 2 hours on the phone with support trying to get a new unit and they finally gave in.  Oh-they do not have a 800 number!  So it was a long distance call!

When we had to call in about the original units getting the FATAL error message, we were treated like we were dumb.  Also-there was a language barrier.

I would stay away from this product.  It is not worth the time or the energy.",Not worth it-stay away!,1359590400,4,
1.0,True,"12 22, 2017",A34CHYQTD692F9,B0016P4EK0,"{'Size:': ' Tape: 1/5"" X 314""'}",Annie,"Horrible. I was so hopeful because I loved the compact size and the tip could twist to cover. Upon use, the white tape skips and also curls up. It's of no use AT ALL.",Horrible. I was so hopeful because I loved the ...,1513900800,,
1.0,False,"04 13, 2012",A2IUXC55PAOY06,B0061R1XI4,,David in CA,"Purchased MJ+ a few months ago. Hooked it up easily. Was working fine for a couple of weeks then started
dropping calls. My modem and G router were pretty old, so I bought a new N router and a docsis 3 modem. Glad I did that, it speeded up my
computer on the internet. But it didn't fix the MJ problems. I then got back on the live chat customer service train.
To say it's time consuming is an understatement. But it's there and they try different fixes, they haven't given up on me.
After a few weeks of chats. I requested a replacement unit. $10.50 charge to me. Right out of the box, same problems. More customer chats
until yesterday when they escalated to remotely taking over my computer and making router setting changes.
It works OK when plugged into the computer but still not the router. They have forwarded a report to the engineering department.
I give then credit for not giving up. Bottom line, I paid for a device that doesn't need to have the computer turned on. Now I have to
leave my computer on all all day! I cannot recommend this product.
UPDATE:4/29, no contact from engineering dept. I have given up on this product working with my router and just leave my computer on all day.
I will buy an Ooma when the one year contract expires on the MJ+.",Magic Jack Minus,1334275200,2,
1.0,True,"02 12, 2012",A1BJ6HMS46ZJ6S,B002BSV3OQ,{'Size:': ' 1 Pack'},K. Rutter,Item broke the first time we used it.  Don't buy.  Would return it but it is not worth the effort to return it.,Cheap,1329004800,,
1.0,False,"08 25, 2011",A2QMV3WNO7IN19,B009EAF9XA,{'Style:': ' New'},C D,"1. In particular, I would not recommend this unit (MFC JD6910dw) because:
01. wireless setup crashes the machine (computer) by bringing up the Blue Screen of death (fatal error occurred)
02. wired network and wireless setup do not work concurrently (when used at the same time) and it is mentioned only as side point in their manual
03. to install the USB drivers, according to customer support, the user would have to install the wireless drivers first (!, wow this is the best pearl)
04. the computer software designed to be used from the computer screen as an alternative to using the LCD on the MFC does not recognize the USB connected device only the LAN  connected device
05. scan to email function from LCD does not work - it gives an error. It works fine with  same settings from the software (ControlCenter)
06. poor customer support with attitude

2. I would also not recommend this or any other brother machine due to the incompetence and rudeness of their customer support. I would also not recommend them for their customer support who attempt to collect personal data even it is not related to the issue at hand.

After spending almost 10 hours over the phone with brother customer support over 2 weeks, I do not appreciate the lack of professionalism and attitude of a customer support supervisor. They are paid to provide support and not to interrupt the customer and be rude; I paid for their product and I don't intend spending additional time trying to fix software and hardware design bugs. The name of the customer support supervisor is Letrice - she kept asking ""how is it possible that their drivers to crash the hard drive of my computer""; please note I did not use the word ""hard drive"" when I told her that when I ran their drivers package, their software crashed 2 computers running XP professional when attempting wireless network setup for the MFC.

Example:
you contact them online (chat session), they ask the details of the error, then they will tell you they have to escalate the case. At that point they ask you the address and phone number saying that they have to call you back. I asked them why my address is required to fix software issues and they told me it is ""required"". I refused and session was disconnected. I connected again and went through the same steps until I found another person who accepted to go on with (poor) support without collecting my address.",machine glitches and horrible customer support,1314230400,19,
1.0,True,"10 19, 2012",A2FEJMC7QSTARM,B003YFHCKY,,Skier,"I had previously purchased the knockoff cartridges for my Brother printers, but since I had purchased a new Brother printer and was planning a big printing job, I purchased two TN450's.

The second TN 450  did not work in the printer, and since it was past the 90 days warranty, Brother would not send a new one.  I'm out $50.

I had always had good luck with the $15 knockoffs, and Brother's cartridges are only 75% successful.  My advice, go with the knockoffs.",Cartridge did not work,1350604800,2,
1.0,True,"05 17, 2018",A1NZQ9R7GXRBU7,B00154YWJ0,"{'Size:': ' 5,000 Sheets', 'style name:': ' Letter'}",Jean,"Office Depot sells copy paper of equal quality for 50% less when on sale,which it usually is. This order was an obvious mistake.",Total ripoff,1526515200,,
1.0,True,"11 19, 2012",A3H6KI2VF8VU0R,B00F9ZQ0HI,{'Style:': ' HL2280 (Old Model)'},S. Ahmed,"I have made at least 10 attempts to connect to my router.  It does find the router but after entering my security key, fails to connect. I will try a replacement unit and if that does not work, I will return it.  I have the MFC 7840W, which has no connection problem but breaking down in less than 4 years.","Does not accept my WEP Key for the router, fails to connect",1353283200,13,
1.0,True,"04 13, 2016",A2PFKGKPD5YJEW,B00YFTHJ9C,{'Style:': ' Shredder'},Nan,"This was a useless purchase as the item is not functional.  That is to say, it does not work at all and appears to be dead.  It has never worke4d, at all.",SAVE YOUR MONEY,1460505600,,
1.0,False,"10 8, 2012",A2GBZPP44H90JR,B005O55TDO,,W. Huyck,"I bought an HP All In One Printer on June 23, 2012.  It is now defective.  HP will only send me a Refurbished unit under warrantee, which amounts to a used unit.  HP warrantee's are worthless, don't trust HP.  I am very disappointed and sorry that I wasted my $350.00 on this printer.

Pastor Walter Huyck",Do Not Trust HP Warrantee,1349654400,3,
1.0,True,"01 16, 2016",A2UNWJMWXUZ9A4,B00LW7XY3A,,R20116M,"Print on the outside of the page is lighter than the rest of the page.  Also, the drum error light stays on.  Returning and purchasing another one.",Print on the outside of the page is lighter than ...,1452902400,,
1.0,False,"10 17, 2014",A1LVFDVJ5QMBJ3,B00AWVMZKU,,Kathy Damewood,"black cartridge, even though full, will not work in my office jet pro 8600 printer... no way, no how...",One Star,1413504000,,
1.0,True,"02 5, 2015",A1QZSBK0LIB301,B000V4OLP0,{'Size:': ' 4 Pack'},HH,crumbles and falls apart.  created a big mess.,One Star,1423094400,,
1.0,True,"10 14, 2016",A3FYKB51V7KDRP,B00005BIEF,,CMac,"This product has malfunctions, in less then one month the keys stop working and it does not add. I just tried to return or exchange it, I was told that the return policy had expired. Nearly a $70 calculator and it's broke already, Makes no sense to me. I used it for my home office, and I probably added on it tops 3 times. What a Joke",Malfunction Sharp,1476403200,6,
1.0,True,"06 1, 2013",A6T2FPA89Q17N,B009V35J26,,lowatergang,"Could not get it to import anything and tech support is worse than BAD!!!!!! Turn and run, don't walk and don't look back!",waste of money!!!!,1370044800,3,
1.0,True,"04 30, 2015",A3H8PTJMU378YT,B000VSGDLG,,dumar,Did not work in my HP2610xi,One Star,1430352000,,
1.0,True,"02 8, 2016",AQGYTZ7SAF56G,B004UQ40IS,,Jennifer E Stevens,Bad,Did not fit where I want it it to be,1454889600,,
1.0,True,"10 5, 2015",A140Y9O7U23TWC,9935917886,,TheDrakeEquator,"Poorly designed and all togeather impractical, basically a waste of $20. The days of the week are so narrow that you can't even write a single word. It has the days plotted out by hour, which is impractical when you need to jot down a list of things that need to be accomplished. As a student Saturday and sunday are extreamly usefull days of the week, but the planner just gives them tiny sections. I threw mine away after I bought a $5 one from my college bookstore, hopefully it can be recycled and provide some use as paper towels.",basically a waste of $20,1444003200,,
1.0,True,"06 20, 2014",A1V194LBGLS2KZ,B00007LP00,,J.C.,"I cannot believe that I paid $7 for this cheaply made piece of plastic. I expect the zipper to misalign at any moment. I am almost afraid to close the binder on it. Never again....and I waited 10 days for this. Do not bother buying this, save your disappointment. The thing that makes me really angry is that it is rather difficult to find item that fit nicely into this handy sized binder. Love the binder and other products I have purchased for it, just not this piece.",Junk,1403222400,,
1.0,True,"03 29, 2013",AMVYQH4IR56Y3,B003YGZIY0,,Woody Owenby,"I ordered this printer to go with an iMac G4 Power PC OS 10.4.11. System requirements list was Mac OS Power PC. When installing the driver for the printer the system requirement are Power PC 10.5 or above. Went back on Amazon and after searching deep into system requirement found that I did not get such a good deal. Searched HP website for compatible driver and unable to find a driver for my OS. Sold it to a Window XP user.
THERE FORE I am not capable of rating the printer, however I can say..............",Disappointed,1364515200,,
1.0,True,"06 4, 2017",A3P2J1W1RBUX6Q,B00HLY0K9E,{'Style Name:': ' Refill'},Tommy B,Amazingly strong adhesive if only it was in some kind of usable form. Like so many others I had a short successful run of a couple inches only to have it twist and tangle making it useless. Makes for a very expensive two inches of glue. I hope they get it figured out because the adhesive is some of the strongest I've seen.,I hope they can make a successful applicator,1496534400,2,
1.0,True,"12 17, 2016",A2ZP8713LXZ3TZ,B01FU0AKE0,{'Color:': ' White Medium'},Autumn,"I hate leaving bad reviews of products but now that I have it, I'm shocked by all the glowing reviews. For the price, I expected more.

For anyone who ever built models as a hobby, you will immediately recognize this as your typical plasticard that you can get for literally $0.30 a sheet at any hobby or craft shop. The only difference is this is way smaller, has rounded corners, and an adhesive back.

I expected the adhesive to be only slightly tacky or maybe the back to have some kind of rubbery or textured coating to prevent slipping, but really it is just straight up glue. That means once you put it down, there is no removing it without ruining your desk top or spending a lot of time and effort scraping sticky residue off your desk. It can not be repositioned. My desk is brand new so I didn't want to permanently stick anything to it.

It also simply doesn't function very well as a mouse pad. I was looking for something minimalist that was designed for gamers. I tend to look for products geared toward gamers because I do a lot of photo and video editing, so it helps to have a mouse and mouse pad capable of detecting minute movements. While looking for gamer specific mouse pads, this came up but this really is not suitable for anything more than casual surfing or office use. If you're a gamer, editor, or digital artist this is not the product for you!

I have two very high quality laser mice, one regular and one ergonomic upright. I've used them before for a long time with a traditional mouse pad with no problems. I only bought this for something that is easy to clean and nicer looking. But with this mouse pad the tracking skips and settles constantly, it's extremely irritating when trying to do any detail work. Maybe it would work better with a tracker ball style of mouse? I gave this to a friend of mine who is a professional graphic designer and a Mac user, but does not have access to a tablet at her work place. She used it for a few hours, had the same problems I had, and gave it right back to me.

The bottom line is, this is a tiny piece of plasticard with a literal 3,233.333% increase in price for less material, round corners, and some tack glue. If you are near any hobby, craft, or big box store you could make a better version yourself for less than a dollar and it would only take a minute to assemble. I think this is the only time I've felt truly ripped off by a purchase and felt compelled to leave a review to warn others off of this.

I guess I'll be getting an aluminum mouse pad next.","AWFUL! This is literally a few cents worth of plasticard and tack glue, not a mouse pad!",1481932800,,
1.0,True,"05 20, 2014",AJNEG09R7Q972,B000FDPCHI,{'Size:': ' 240-Card Capacity'},AJ,"I admit I am a bit of a snob when it comes to quality products that I feel represent me in my profession. This is a bulky item that takes up a lot of room. If you like large portfolio type binders that hold business cards and a memo pad, than this is for you. The craftsmanship is nice and the exterior leather feels great. It just wasn't what I thought it would be. I wanted something sleek and slender and easy to throw in a bag. This is like the large elementary, middle school binders that had 13 classes loaded in them. If I could of returned it I would of, I plan to give it away.",Not what I was looking for,1400544000,4,
1.0,True,"08 6, 2014",A2WRQYXD4K49FV,B0016P3BH2,,roads not taken,"No good. I have been told that there is just so many times that these cartridges can be refilled. When that limit is met, the darn thing won't print. Returned it for refund. Now I buy them from the local cartridge store, where they keep track of the number of times they have been refilled.",No good. I have been told that there is just ...,1407283200,,
1.0,False,"02 9, 2014",A2L81H57GPQD1C,B00RD7M9S4,,Kristienne,"How did we get to the point where the f word used in any context is supposed to be funny? Amazon, I'm ashamed that you would promote such ridiculous trash as this! If this goes unchecked I will be taking my business elsewhere!",Disgusting,1391904000,,
1.0,True,"07 17, 2014",A3MQ3FGEV8MECC,B0073R7TWU,{'Size:': ' 36 Count'},Joe D.,I've used several condoms and the Trojan brand is by far the worst smelling brand. Not only do these things smell very bad but they are so thick you don't even know if you're having sex. I'd highly recommend finding an alternative.,I'm still a virgin.,1405555200,5,
1.0,False,"06 6, 2013",A3LJ4ZPTFM25WY,B0091Y07XG,{'Format:': ' Office Product'},R. Singer,"1. Epson inkjet printers are a scam to get you to purchase a ridiculous amount of ink.  It's no secret that this is how the manufacturers make money, BUT no one else is as unscrupulous as Epson.
- These printers chew up the color ink even when you don't even print with it.  Every time they cycle they use up a little bit of each cartidge.
- If any cartridge is empty, it does not allow you to print at all.  So, even if you just want to print in black & white, it won't let you print if some color that they gave you in a little tiny eensy beensy cartidge is out.

2. They implement the WiFi very poorly.  The printer will frequently lose contact with the computer.  If you print or scan much, you're going to get frustrated and waste a lot of time.  Works fine if you use the wired network connection.",Never EVER EVER buy an Epson Printer,1370476800,2,
1.0,True,"05 8, 2015",A1OU0E7J5C3164,B00MWCG2D8,,p. gellene,"I purchased this item hoping to save money when I ordered my new printer. A few months later went to use after the free ink cartridges they give you with the printer ran out and to my surprise RUINED MY PRINTER! Took only 20. to cost me 150 for the cost of the printer, not happy and especially angry that I can't even return them. Shame on me for trying to save money on this horrible item.",May cost you more than you think,1431043200,,
1.0,True,"11 2, 2017",A16NGWR42L8LEY,B00ZFAYAVA,,PINON,"Looked really good.  I should  have known from the price that the screws would loose, fall off, and be lost quickly.  The metal compass point swivels, a nice feature.  Even when I tighten the screw with pliers, it swivels during use.  Nice features and appearance.  Poor performance.

I initially rated this product as okay.  After email receiving from the seller that asked me to be more specific, I re-evaluated my experiences with the product and rated it as above.",Poor performance,1509580800,,
1.0,True,"07 15, 2012",AHRE2LKLMXPW1,B000VSGJ92,,David A. Foley,"E-mailed the vendor, but no response.  Both cartridges produce an off color result.  I buy these as spares, so I can just swap out an empty one and continue on with my work.  When this happens I have to drive 15 miles to the nearest supplier and loose more than an hour in my deadline.",I ordered 2 and they both do not deliver color.,1342310400,6,
1.0,False,"04 15, 2013",A37J7G9YVHYC0E,B005O55U4C,,L,"I bought this from a store, it has great features but does not connect to mac book 10.6.8 by USB or wirelessly.
I tried to download all the free downloads to make it work.
I called HP and they charge $60.00 on top of &200 plus tax that I paid to buy it to fix the problem of connection error .
I called Apple and they charge $20.00 to help out with no gaurantees that it will be  resolved .
I bought USB cable for $20.00 and tried to make it work still no success.
Thinking of returning it
Anyone has any such similar problems with this Printer .

Thank You",They charge you to fix the problem,1365984000,5,
1.0,True,"07 12, 2009",A1N6Y7XW0BH8J3,B0007L1VOQ,"{'Size:': ' 12-Count', 'Color:': ' Red'}",Excavator61,"bought a few dozen of these...

If you use them outdoors, they will fade. I tested several different brands of markers to see which brand weathered better. Marks A Lot seems to have the best weather resistance... so that is all I buy now.",not as good as a Marks A Lot,1247356800,,
1.0,False,"02 5, 2016",ADH16D7QAN0L1,B00G6N62W0,,Kentucky Gal,It will just not stick at all. I'll have to to order something else.,Disappointing,1454630400,,
1.0,True,"09 7, 2014",A1TIJVOCK4G95X,B00CIG3RZE,"{'Color:': ' 1xBlack,1xCyan,1xYellow,1xMagenta'}",David L. Wade,"Terrible quality, i wouldn't buy from them again.",One Star,1410048000,,
1.0,True,"07 30, 2016",A1XB87LA47UZOQ,B0013CRDS6,,PWF,"From get-go the lightest of gray printing, then faded more",stick with HP,1469836800,,
1.0,True,"01 2, 2017",A1EZOGZCYU323H,B01D2MJZBW,,Michael B. Sonneberg,"Seals on cartridges are weak, one broke off and leaked causing colors to be off. Customer service has been good but did not send a replacement as promised.",You get what you pay for,1483315200,3,
1.0,True,"12 23, 2014",A24GVQU7HTSBKA,B00000JRRD,{'Format:': ' Personal Computers'},Frank William,"nah, too small",One Star,1419292800,,
1.0,True,"04 14, 2015",A2MU85MCR178NN,B00ZZ4XYP4,,Alan Michael Eddy,this pen leaked everywhere but into the nib. definitely not worth your time or effort.,don't buy,1428969600,,
1.0,True,"03 18, 2014",A2GW24NV5DSACY,B00441NDNC,{'Size:': ' 14 Sheet Micro Cut Shredder'},Papa,Never worked out of the box - returned via Amazon's very impressive streamlined return process.  Cannot recommend this shredder since it never shredded for me,Broke,1395100800,3,
1.0,True,"02 3, 2018",A12XQ6U723RIFQ,B00I8OB91O,"{'Size:': ' 4-Count', 'Color:': ' Black', 'Package Type:': ' Standard Packaging'}",Jackson,I bought the ultra-fine tip black marker 4 pack and the entire pack arrived so dry they would not write. I will need to buy new ones.,So dry they would not write,1517616000,,
1.0,True,"12 16, 2017",A2QHENG4ZDTQOW,B004NSCB3E,"{'Color:': ' Matte Black', 'Package Type:': ' Standard Packaging', 'Style:': ' Fine nib'}",JJ,Not the high quality Waterman I know.,One Star,1513382400,,
1.0,True,"03 8, 2017",A255P74YC53QBC,B00C4TRDFA,,Steve V,"What a piece of junk. First I had to pick it up at the Post Office because the company didn't put enough postage on the box. I had to pay an additional $14 to get it.
The front wheel was broken when opened so had to super glue the plastic piece. The first time we used it at the super market, the whole thing fell apart. First the front wheel came off, then the back wheel split in two. I had to literally drag it home full of groceries. If you buy this as a toy for your kid to play market with, you will be ok.
If you actually want to use it for real life shopping, save your money and buy elsewhere.
Total waste of money.
STAY AWAY FROM THIS PRODUCT.",TOTAL PIECE OF CRAP,1488931200,6,
1.0,True,"08 22, 2013",A3DWH0SQCXQJ6N,B003G560JQ,{'Size:': ' 1 Pack'},LSH,"I've only had this pencil sharpener for less than two months and it has already gone dull!  It worked great for a few weeks then--fail!  The ""top"" sharpening blade still works because I don't ever use that one (don't like the fat point) but the one I do use and need is no longer sharp; it is virtually useless.  Spend your money on a different sharpener.",Does not stay sharp!,1377129600,2,
1.0,True,"01 21, 2011",A1FK14ZCV3B1RA,B0010ZNIXK,,P&#039;s Mommy,"I bought this for my 5 yo because I thought he would like it to go with his chalkboard and to cut down on the chalk dust. You can't pick a color, which turned out ok, because we got red. Other than that, my review is negative. It came with a piece of chalk, which seemed to be too small for the chalk holder. So, I tried some of my son's Crayola chalk. I thought that it must be regular size. It just fell right out too. So, I was going to send the chalk holder back, then my husband came home and he messed with it and realized that he could dig his nails down in it to make the ""claws"" grab the chalk. It worked well then, but it's really annoying to have to do this every time you want to raise the chalk or change it out, considering, you are suppose to be able to just push the button. Plus, my 5 yo cant really do it by himself. I noticed that someone else had this problem too, so I'm not even going to try to get another one. It's obviously a design flaw. So, I can't recommend this holder. I hope this helps:)","I'm sorry, but this is a piece of junk!",1295568000,20,
1.0,True,"05 30, 2015",A3GQAQF8RKCCSI,B000CCXZPS,"{'Size:': ' 5,000 sheets', 'Color:': ' Tan', 'style name:': ' Letter'}",hellenic american academy,only one ream received,One Star,1432944000,,
1.0,True,"05 25, 2009",A2ZT90OWJ5MKXX,B000WKSZ5A,,L. J. ,"Update January 2014: The software for this scanner no longer works no matter what I try. I have Image Acquire, which most of the time tells me the scanner isn't connected, then when it does connect (having changed nothing) it crashes when trying to scan or preview. Tried the TWAIN plugin with Photoshop CS5 started up in 32 bit as directed, but get error message that scanner isn't connected. But it is. So... this scanner has become completely unusable for me. Really ridiculous as all that it needs is decent software, the actual scanning still works fine, but it'll end up being recycled soon.

I needed a larger format flatbed to scan paintings on hard board. After a lot of research, found that this is by far the least expensive option. So far (a few months, about 10 scans) it is working fine. The software is stupid and horrible, but I've found that just straight scans (no filters or color correction using the scanner software) come out fine, and I do all correction in Photoshop. For the price, I'd say it is a good value and serves its purpose well. I am on a Mac, and after getting the latest driver and installing the Twain plugin in photoshop, I am able to import scans through Photoshop with no problem.",Driver software doesn't work on Mac,1243209600,,
1.0,True,"03 22, 2017",A2678IQN4ZCZIM,B00AR4BLWA,{'Size:': ' One Size'},Amazon customer,"Did not work for me. It didn't stick well. When it did, just made the shirt look awkward. I tried several different times. Even had my sister place it for me. It would initially look fine, but any type of movement will make whatever I was wearing look weird around the area where the tape was.",Not for me,1490140800,,
1.0,False,"01 29, 2009",A2KMRHZ9U216TI,B00138FMQK,,Joshman,"I purchased 2 Panasonic cordless phone systems (2 bases, and 5 phones in total).  The 3-phone system was dead in a couple months and the 2-phone system just died (after 2 years).  Whatever you do stay away from Panasonic phones!",Beware of Panasonic Cordless Phones,1233187200,4,
1.0,True,"01 16, 2016",A35G7M2QVE0AS5,B001DKMZ3G,{'Style Name:': ' 50 Count'},Amazon customer,"I don't like the colors, there's not enough difference in the colors in the same range.",One Star,1452902400,,
1.0,False,"05 11, 2007",A11ED8O95W2103,B0006HX2KM,"{'Size:': ' Single Roll', 'Style:': ' 60 Yards/Roll'}",lighten_up_already2,"I bought some of this brand of tape to save some money compared to that other leading famous brand of clear sealing tape.  What I got were rolls of tape that looked the same but were brittle.  That means that the tape split as I was pulling it off the roll, making me pick at the strip still sticking to the roll and starting it over.  I wasted so much time with this tape that I made up my mind to pay extra and buy that other leading brand that I never had this problem with.

The only way I can qualify this review is that perhaps the rolls I got were too old to be sold.  Perhaps they had been in storage too long.  But after what I've been through using this tape, I can't bring myself to buy it again.",Brittle and sticks to itself. What an ordeal.,1178841600,25,
